Date,Position,Trade Outcome,Entry Price,Exit Price,Points Gained,Exit Time
2015-01-14,,Closed End of Day,8304.0,8287.75,0.0,2015-01-14 15:15:00
2015-01-15,Long,Closed End of Day,8407.8,8461.15,53.35,2015-01-15 15:15:00
2015-01-19,Long,Closed End of Day,8560.3,8550.3,53.35,2015-01-19 15:15:00
2015-01-20,Long,Closed End of Day,8598.3,8691.25,92.95,2015-01-20 15:15:00
2015-01-21,Long,Closed End of Day,8715.75,8728.05,12.3,2015-01-21 15:15:00
2015-01-22,Long,Closed End of Day,8762.05,8762.2,0.15,2015-01-22 15:15:00
2015-01-23,Long,Closed End of Day,8843.7,8823.55,0.15,2015-01-23 15:15:00
2015-01-27,Long,Closed End of Day,8854.3,8904.2,49.9,2015-01-27 15:15:00
2015-01-28,Long,Closed End of Day,8909.15,8906.8,49.9,2015-01-28 15:15:00
2015-01-29,Long,Closed End of Day,8873.4,8950.2,76.8,2015-01-29 15:15:00
2015-01-30,Long,SL Hit,8925.6,8825.6,-100.0,2015-01-30 11:30:00
2015-02-02,Long,Closed End of Day,8777.25,8798.15,20.9,2015-02-02 15:15:00
2015-02-03,Long,Closed End of Day,8801.2,8746.65,20.9,2015-02-03 15:15:00
2015-02-04,Long,Closed End of Day,8740.6,8713.95,20.9,2015-02-04 15:15:00
2015-02-05,Long,Closed End of Day,8757.4,8699.4,20.9,2015-02-05 15:15:00
2015-02-06,Long,Closed End of Day,8696.0,8666.0,20.9,2015-02-06 15:15:00
2015-02-09,Long,Closed End of Day,8562.4,8518.3,20.9,2015-02-09 15:15:00
2015-02-10,Long,SL Hit,8583.95,8483.95,-100.0,2015-02-10 09:15:00
2015-02-11,Long,Closed End of Day,8609.85,8635.5,25.65,2015-02-11 15:15:00
2015-02-12,Long,Closed End of Day,8634.4,8728.4,94.0,2015-02-12 15:15:00
2015-02-13,Long,Closed End of Day,8754.4,8803.05,48.65,2015-02-13 15:15:00
2015-02-16,Long,Closed End of Day,8861.95,8808.7,48.65,2015-02-16 15:15:00
2015-02-18,Long,Closed End of Day,8850.65,8865.25,14.6,2015-02-18 15:15:00
2015-02-19,Long,SL Hit,8894.6,8794.6,-100.0,2015-02-19 14:00:00
2015-02-20,Long,Closed End of Day,8835.8,8827.7,14.6,2015-02-20 15:15:00
2015-02-23,Long,SL Hit,8842.05,8742.05,-100.0,2015-02-23 15:15:00
2015-02-24,Long,Closed End of Day,8755.55,8760.8,5.25,2015-02-24 15:15:00
2015-02-25,Long,Closed End of Day,8816.2,8765.25,5.25,2015-02-25 15:15:00
2015-02-26,Long,Closed End of Day,8747.8,8694.65,5.25,2015-02-26 15:15:00
2015-02-27,Long,Closed End of Day,8736.0,8850.65,114.65,2015-02-27 15:15:00
2015-02-28,Long,SL Hit,8908.35,8808.35,-100.0,2015-02-28 13:15:00
2015-03-02,Long,Closed End of Day,8960.4,8961.55,1.15,2015-03-02 15:15:00
2015-03-03,Long,Closed End of Day,8952.3,8996.75,44.45,2015-03-03 15:15:00
2015-03-04,Long,SL Hit,9081.15,8981.15,-100.0,2015-03-04 14:30:00
2015-03-05,Long,Closed End of Day,8918.45,8937.75,19.3,2015-03-05 15:15:00
2015-03-09,Long,Closed End of Day,8818.85,8743.25,19.3,2015-03-09 15:15:00
2015-03-10,Long,Closed End of Day,8734.15,8725.6,19.3,2015-03-10 15:15:00
2015-03-11,Long,Closed End of Day,8739.65,8701.8,19.3,2015-03-11 15:15:00
2015-03-12,Long,Closed End of Day,8755.85,8771.4,15.55,2015-03-12 15:15:00
2015-03-13,Long,SL Hit,8750.75,8650.75,-100.0,2015-03-13 14:00:00
2015-03-16,Long,Closed End of Day,8639.15,8639.6,0.45,2015-03-16 15:15:00
2015-03-17,Long,Closed End of Day,8723.25,8722.35,0.45,2015-03-17 15:15:00
2015-03-18,Long,Closed End of Day,8710.5,8680.9,0.45,2015-03-18 15:15:00
2015-03-19,Long,SL Hit,8779.0,8679.0,-100.0,2015-03-19 14:45:00
2015-03-20,Long,Closed End of Day,8597.9,8584.85,0.45,2015-03-20 15:15:00
2015-03-23,Long,Closed End of Day,8575.8,8550.95,0.45,2015-03-23 15:15:00
