Date,Position,Trade Outcome,Entry Price,Exit Price,Points Gained,Exit Time
2015-01-14,Short,Closed End of Day,8304.0,8287.75,16.25,2015-01-14 15:15:00
2015-01-15,Short,SL Hit,8407.8,8507.8,-100.0,2015-01-15 14:30:00
2015-01-19,Short,Closed End of Day,8560.3,8550.3,10.0,2015-01-19 15:15:00
2015-01-20,Short,SL Hit,8598.3,8698.3,-100.0,2015-01-20 15:00:00
2015-01-21,Short,Closed End of Day,8715.75,8728.05,10.0,2015-01-21 15:15:00
2015-01-22,Short,Closed End of Day,8762.05,8762.2,10.0,2015-01-22 15:15:00
2015-01-23,Short,Closed End of Day,8843.7,8823.55,20.15,2015-01-23 15:15:00
2015-01-27,Short,Closed End of Day,8854.3,8904.2,20.15,2015-01-27 15:15:00
2015-01-28,Short,Closed End of Day,8909.15,8906.8,2.35,2015-01-28 15:15:00
2015-01-29,Short,Closed End of Day,8873.4,8950.2,2.35,2015-01-29 15:15:00
2015-01-30,Short,Closed End of Day,8925.6,8821.45,104.15,2015-01-30 15:15:00
2015-02-02,Short,Closed End of Day,8777.25,8798.15,104.15,2015-02-02 15:15:00
2015-02-03,Short,Closed End of Day,8801.2,8746.65,54.55,2015-02-03 15:15:00
2015-02-04,Short,Closed End of Day,8740.6,8713.95,26.65,2015-02-04 15:15:00
2015-02-05,Short,Closed End of Day,8757.4,8699.4,58.0,2015-02-05 15:15:00
2015-02-06,Short,Closed End of Day,8696.0,8666.0,30.0,2015-02-06 15:15:00
2015-02-09,Short,Closed End of Day,8562.4,8518.3,44.1,2015-02-09 15:15:00
2015-02-10,Short,Closed End of Day,8583.95,8578.85,5.1,2015-02-10 15:15:00
2015-02-11,Short,Closed End of Day,8609.85,8635.5,5.1,2015-02-11 15:15:00
2015-02-12,Short,Closed End of Day,8634.4,8728.4,5.1,2015-02-12 15:15:00
2015-02-13,Short,Closed End of Day,8754.4,8803.05,5.1,2015-02-13 15:15:00
2015-02-16,Short,Closed End of Day,8861.95,8808.7,53.25,2015-02-16 15:15:00
2015-02-18,Short,Closed End of Day,8850.65,8865.25,53.25,2015-02-18 15:15:00
2015-02-19,Short,Closed End of Day,8894.6,8898.35,53.25,2015-02-19 15:15:00
2015-02-20,Short,Closed End of Day,8835.8,8827.7,8.1,2015-02-20 15:15:00
2015-02-23,Short,Closed End of Day,8842.05,8742.8,99.25,2015-02-23 15:15:00
2015-02-24,Short,Closed End of Day,8755.55,8760.8,99.25,2015-02-24 15:15:00
2015-02-25,Short,Closed End of Day,8816.2,8765.25,50.95,2015-02-25 15:15:00
2015-02-26,Short,Closed End of Day,8747.8,8694.65,53.15,2015-02-26 15:15:00
2015-02-27,Short,SL Hit,8736.0,8836.0,-100.0,2015-02-27 15:00:00
2015-02-28,Short,Closed End of Day,8908.35,8920.75,53.15,2015-02-28 15:15:00
2015-03-02,Short,Closed End of Day,8960.4,8961.55,53.15,2015-03-02 15:15:00
2015-03-03,Short,Closed End of Day,8952.3,8996.75,53.15,2015-03-03 15:15:00
2015-03-04,Short,Closed End of Day,9081.15,8918.4,162.75,2015-03-04 15:15:00
2015-03-05,Short,Closed End of Day,8918.45,8937.75,162.75,2015-03-05 15:15:00
2015-03-09,Short,Closed End of Day,8818.85,8743.25,75.6,2015-03-09 15:15:00
2015-03-10,Short,Closed End of Day,8734.15,8725.6,8.55,2015-03-10 15:15:00
2015-03-11,Short,Closed End of Day,8739.65,8701.8,37.85,2015-03-11 15:15:00
2015-03-12,Short,Closed End of Day,8755.85,8771.4,37.85,2015-03-12 15:15:00
2015-03-13,Short,Closed End of Day,8750.75,8661.1,89.65,2015-03-13 15:15:00
2015-03-16,Short,Closed End of Day,8639.15,8639.6,89.65,2015-03-16 15:15:00
2015-03-17,Short,Closed End of Day,8723.25,8722.35,0.9,2015-03-17 15:15:00
2015-03-18,Short,Closed End of Day,8710.5,8680.9,29.6,2015-03-18 15:15:00
2015-03-19,Short,Closed End of Day,8779.0,8622.9,156.1,2015-03-19 15:15:00
2015-03-20,Short,Closed End of Day,8597.9,8584.85,13.05,2015-03-20 15:15:00
2015-03-23,Short,Closed End of Day,8575.8,8550.95,24.85,2015-03-23 15:15:00
2015-03-24,Short,Closed End of Day,8578.45,8549.9,28.55,2015-03-24 15:15:00
2015-03-25,Short,Closed End of Day,8546.45,8517.0,29.45,2015-03-25 15:15:00
2015-03-26,Short,Closed End of Day,8473.9,8382.3,91.6,2015-03-26 15:15:00
2015-03-27,Short,Closed End of Day,8361.8,8348.05,13.75,2015-03-27 15:15:00
2015-03-30,Short,SL Hit,8399.75,8499.75,-100.0,2015-03-30 15:15:00
2015-03-31,Short,Closed End of Day,8513.5,8480.9,32.6,2015-03-31 15:15:00
2015-04-01,Short,SL Hit,8484.95,8584.95,-100.0,2015-04-01 15:15:00
2015-04-06,Short,Closed End of Day,8588.6,8652.0,32.6,2015-04-06 15:15:00
2015-04-07,Short,Closed End of Day,8670.3,8676.9,32.6,2015-04-07 15:15:00
2015-04-08,Short,Closed End of Day,8694.7,8717.35,32.6,2015-04-08 15:15:00
2015-04-09,Short,Closed End of Day,8706.8,8774.25,32.6,2015-04-09 15:15:00
2015-04-10,Short,Closed End of Day,8763.65,8767.55,32.6,2015-04-10 15:15:00
